text,label,Disease
"continuous sneezing,shivering,chill,watering from eyes",35,Allergy
"vomiting,sunken eyes,diarrhoea",402,Gastroenteritis
"fatigue,cough,high fever,breathlessness,family history,mucoid sputum",149,Bronchial Asthma
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",297,Dimorphic Hemmorhoids(Piles)
"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",468,Hepatitis E
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine",541,Jaundice
"skin rash,pus filled pimples,blackhead,scurring",7,Acne
"chill,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",596,Malaria
"fatigue,cramp,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",1047,Varicose Veins
"Signs and symptom of cataract include: Clouded, blurred or dim vision Increasing difficulty with vision at night Sensitivity to light and glare Need for brighter light for reading and other activity Seeing ""halos"" around light Frequent change in eyeglass or contact lens prescription Fading or yellowing of color Double vision in a single eye At first, the cloudiness in your vision caused by a cataract may affect only a small part of the eye's lens and you may be unaware of any vision loss. As the cataract grows larger, it cloud more of your lens and distorts the light passing through the lens. This may lead to more-noticeable symptoms.",176,Cataracts
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",700,Osteoarthristis
"fatigue,yellowish skin,nausea,loss of appetite,family history",466,Hepatitis C
"I've been having back pain, a chronic cough, and muscle weakness. I'm also dizzy and losing my balance, and my neck hurts.",186,Cervical Spondylosis
"continuous sneezing,shivering,chill,watering from eyes",35,Allergy
"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",207,Chronic Cholestasis
"headache,chest pain,dizziness,loss of balance,lack of concentration",501,Hypertension 
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",465,Hepatitis B
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",297,Dimorphic Hemmorhoids(Piles)
"The first symptom of hoarding disorder often appear during the teenage to early adult years. You may get and save too many items, gradually build up clutter in living spaces, and have difficulty getting rid of things. As you grow older, you may continue getting and holding onto thing that you may never use and don't have space for. By middle age, the clutter can become overwhelming a symptom become more severe and increasingly difficult to treat. Problems with hoarding gradually develop over time and tend to be a private behavior. You may avoid having family, friend or repair worker in your home. Often, major clutter ha developed by the time it reach the attention of others. Symptoms of hoarding disorder may include: Getting and keeping too many item that you may not have a need for right now and don't have space for. Ongoing difficulty throwing out or parting with your things, regardless of their actual value. Feeling a need to save these item and being upset by the thought of getting rid of them. Building up clutter to the point where you can't use rooms. Trying to be perfect and avoiding or delaying decisions. Problems with planning and organizing. Getting too many item and refusing to part with them result in: Disorganized pile or stack of items, such a newspapers, clothes, paperwork, book or sentimental items. Items that crowd and clutter your walking space and living areas. Rooms can't be used for the intended purpose, such a not being able to sleep in your bed. Buildup of food or trash to large, unsanitary levels. Distress or problem functioning or keeping yourself, others and pet safe in your home. Conflict with others who try to reduce or remove clutter from your home. Relationship issues, avoiding social activity and employment problems. Difficulty organizing item and sometimes losing important item in the clutter. With hoarding disorder, item are usually saved because: You believe these item are unique or that you'll need them at some point in the future. You feel emotionally connected to item that remind you of happier time or represent beloved people or pets. You feel safe and comforted when surrounded by things. You don't want to waste anything. Hoarding disorder is different from collecting. People who have collections, such a stamp or model cars, carefully search out specific items, organize them and display their collections. Collections can be large, but they aren't usually cluttered. Also, they don't cause the distress and problem functioning that are part of hoarding disorder. Hoarding animal People who hoard animal may collect dozen or even hundred of pets. Animals may be confined inside or outside. Because of the large numbers, these animal often aren't cared for properly. The health and safety of the person and the animal are often at risk because of unsanitary conditions.",485,Hoarding Disorder
"itching,skin rash,stomach pain,spotting  urination",308,Drug Reaction
"itching,skin rash,nodal skin eruptions,dischromic  patches",394,Fungal Infection
"Signs and symptom of morphea vary depending on the type and stage of the condition. They include: Reddish or purplish oval patch of skin, often on the belly, chest or back Patches that gradually develop a lighter or whitish center Linear patches, especially on the arm or leg and possibly the forehead or scalp A gradual change in the affected skin, which becomes firm, thickened, dry and shiny Morphea affect the skin and underlying tissue and sometimes bone. The condition generally last several year and then improves or at time disappears by itself. It may leave scar or area of darkened or discolored skin. It is possible for morphea to recur.",647,Morphea
"Signs and symptom of dry socket may include: Severe pain within a few day after a tooth extraction Partial or total loss of the blood clot at the tooth extraction site, which you may notice a an empty-looking (dry) socket Visible bone in the socket Pain that radiates from the socket to your ear, eye, temple or neck on the same side of your face a the extraction Bad breath or a foul odor coming from your mouth Unpleasant taste in your mouth When to see a doctor A certain degree of pain and discomfort is normal after a tooth extraction. However, you should be able to manage normal pain with the pain reliever prescribed by your dentist or oral surgeon, and the pain should lessen with time. If you develop new or worsening pain in the day after your tooth extraction, contact your dentist or oral surgeon immediately.",313,Dry Socket
"muscle wasting,patches in throat,high fever",27,Aids
"Breast tissue normally might feel lumpy or ropy and you may have tenderness that come and go with your menstrual period. If you have an underlying breast condition, you might notice change in how your breast normally feel, such as: A round, smooth and firm breast lump A large, solid-feeling lump that move easily under your skin A hard, irregular-shaped breast lump Skin redness or dimpling like an orange Changes in breast size or shape Fluid leaking from your nipple Causes Breast lump can result from: Breast cysts. If you find a breast lump that feel round, smooth and firm, it could be a cyst — a dilated milk duct filled with fluid. A breast cyst can be large or small, and the surrounding breast tissue may be tender. A breast cyst may appear before your menstrual period and get smaller or disappear afterward. Fibrocystic breast changes. With fibrocystic breast changes, you may feel fullness in your breast with area of lumpiness or ridgelike areas. Your breast may feel tender. Many woman experience fibrocystic breast change related to their menstrual cycle that tend to improve after the menstrual cycle. Fibroadenomas. Fibroadenomas are solid, noncancerous breast tumor that are smooth and move easily under your skin when touched. A fibroadenoma may grow larger. Factors that may be associated with fibroadenoma growth include being pregnant, using hormone therapy or menstruation. Injuries and infections. A severe injury to your breast tissue or nearby nerve can create a breast lump. Doctors describe this condition a fat necrosis. A collection of infected fluid (abscess) in breast tissue also can cause a breast lump, one that's often associated with localized breast pain and inflammation of the skin. Breast cancer. A breast lump that's painless, hard, irregularly shaped and different from surrounding breast tissue might be breast cancer. Skin covering the lump may look red, dimpled or pitted like the skin of an orange. Your breast size and shape may change, or you may notice discharge from the nipple. Only by seeing your doctor for evaluation can you be certain of what kind of test you might need and which type of breast lump you have. Clinical trial Explore Mayo Clinic study testing new treatments, intervention and test a a mean to prevent, detect, treat or manage this condition. Explore Mayo Clinic study By Mayo Clinic Staff By Mayo Clinic Staff Suspicious breast lump care at Mayo Clinic",957,Suspicious Breast Lumps
"fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",511,Hypothyroidism
"indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances",630,Migraine
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",72,Arthritis
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",515,Impetigo
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",297,Dimorphic Hemmorhoids(Piles)
"itching,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",193,Chicken Pox
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",515,Impetigo
"Signs and symptom of DiGeorge syndrome (22q11.2 deletion syndrome) can vary in type and severity, depending on what body system are affected and how severe the defect are. Some sign and symptom may be apparent at birth, but others may not appear until later in infancy or early childhood. Signs and symptom may include some combination of the following: Heart murmur and bluish skin due to poor circulation of oxygen-rich blood (cyanosis) a a result of a heart defect Frequent infection Certain facial features, such a an underdeveloped chin, low-set ears, wide-set eye or a narrow groove in the upper lip A gap in the roof of the mouth (cleft palate) or other problem with the palate Delayed growth Difficulty feeding, failure to gain weight or gastrointestinal problem Breathing problem Poor muscle tone Delayed development, such a delay in rolling over, sitting up or other infant milestone Delayed speech development or nasal-sounding speech Learning delay or disability Behavior problem When to see a doctor Other condition may cause sign and symptom similar to 22q11.2 deletion syndrome. So it's important to get an accurate and prompt diagnosis if your child show any sign or symptom listed above. Doctors may suspect 22q11.2 deletion syndrome: At birth. If certain condition — a severe heart defect, cleft palate or a combination of other factor typical of 22q11.2 deletion syndrome — are readily apparent at birth, diagnostic test will likely begin before your child leaf the hospital. At well-baby visits. Your family doctor or pediatrician may suspect the disorder because of a combination of illness or disorder that become apparent over time. Other issue may come to the attention of your doctor during regularly scheduled well-baby visit or annual checkup for your child.",295,Digeorge Syndrome
"fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",285,Diabetes 
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitation",504,Hypoglycemia
"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",466,Hepatitis C
I have been getting blood in my pee. Sometimes I get nauseous while peeing. This often almost coincides with me having a high temperature. I also feel like I have to pee all the time.,1035,Urinary Tract Infection
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",735,Peptic Ulcer Diseae
"itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",193,Chicken Pox
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",700,Osteoarthristis
"pain during bowel movements,pain in anal region,bloody stool,irritation in anus",297,Dimorphic Hemmorhoids(Piles)
"Like primary hypertension, secondary hypertension usually ha no specific symptoms, even if blood pressure ha reached dangerously high levels. For people diagnosed with high blood pressure, having any of these sign may mean the condition is secondary hypertension: High blood pressure that doesn't respond to blood pressure medication (resistant hypertension) Very high blood pressure — systolic blood pressure over 180 millimeter of mercury (mm Hg) or diastolic blood pressure over 120 mm Hg High blood pressure that no longer responds to medication that previously controlled the blood pressure Sudden-onset high blood pressure before age 30 or after age 55 No family history of high blood pressure No obesity",893,Secondary Hypertension
"Signs and symptom of a sprained ankle vary depending on the severity of the injury. They may include: Pain, especially when you bear weight on the affected foot Tenderness when you touch the ankle Swelling Bruising Restricted range of motion Instability in the ankle Popping sensation or sound at the time of injury",935,Sprained Ankle
"fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",285,Diabetes 
Prostate cancer may cause no sign or symptom in it early stages. Prostate cancer that's more advanced may cause sign and symptom such as: Trouble urinating Decreased force in the stream of urine Blood in the urine Blood in the semen Bone pain Losing weight without trying Erectile dysfunction,815,Prostate Cancer
"skin rash,chill,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body",275,Dengue
"itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",193,Chicken Pox
"vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",596,Malaria
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",465,Hepatitis B
"skin rash,pus filled pimples,blackhead,scurring",7,Acne
"headache,chest pain,dizziness,loss of balance,lack of concentration",501,Hypertension 
"chill,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",766,Pneumonia
"fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",511,Hypothyroidism
"For some people, using any amount of tobacco can quickly lead to nicotine dependence. Signs that you may be addicted include: You can't stop smoking. You've made one or more serious, but unsuccessful, attempt to stop. You have withdrawal symptom when you try to stop. Your attempt at stopping have caused physical and mood-related symptoms, such a strong cravings, anxiety, irritability, restlessness, difficulty concentrating, depressed mood, frustration, anger, increased hunger, insomnia, constipation or diarrhea. You keep smoking despite health problems. Even though you've developed health problem with your lung or your heart, you haven't been able to stop. You give up social activities. You may stop going to smoke-free restaurant or stop socializing with family or friend because you can't smoke in these situations.",681,Nicotine Dependence
"continuous sneezing,chill,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",234,Common Cold
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",515,Impetigo
"chill,fatigue,cough,high fever,breathlessness,sweating,malaise,chest pain,fast heart rate,rusty sputum",766,Pneumonia
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",297,Dimorphic Hemmorhoids(Piles)
"My vein are bulging and painful. I can't stand for long period of time, a it cause pain in my legs, similar to cramps.",1047,Varicose Veins
"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",466,Hepatitis C
"Nephrogenic systemic fibrosis can begin day to months, and even years, after exposure to an older gadolinium-based contrast agent (group 1). Some sign and symptom of nephrogenic systemic fibrosis may include: Swelling and tightening of the skin Reddened or darkened patch on the skin Thickening and hardening of the skin, typically on the arm and leg and sometimes on the body, but almost never on the face or head Skin that may feel ""woody"" and develop an orange-peel appearance Burning, itching or severe sharp pain in area of involvement Skin thickening that inhibits movement, resulting in loss of joint flexibility Rarely, blister or ulcer In some people, involvement of muscle and body organ may cause: Muscle weakness Limitation of joint motion caused by muscle tightening (contractures) in arms, hands, leg and foot Bone pain, particularly in the hip bone or rib Reduced internal organ function, including heart, lung, diaphragm, gastrointestinal tract or liver Yellow plaque on the white surface (sclera) of the eye The condition is generally long term (chronic), but some people may improve. In a few people, it can cause severe disability, even death.",674,Nephrogenic Systemic Fibrosis
"continuous sneezing,chill,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",234,Common Cold
"burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine",1035,Urinary Tract Infection
"I've been having swelling in my leg for a few week now. It's gotten worse, and now I can see a lot of vein on my calves. I'm worried about it.",1047,Varicose Veins
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",541,Jaundice
"vomiting,sunken eyes,dehydration,diarrhoea",402,Gastroenteritis
"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",466,Hepatitis C
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",464,Hepatitis A
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",467,Hepatitis D
"vomiting,breathlessness,sweating,chest pain",447,Heart Attack
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",700,Osteoarthristis
"itching,fatigue,lethargy,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",465,Hepatitis B
I've been shivering and shivering and I feel cold. My fever is really high. I have rash on my arm and red patch on my neck.,275,Dengue
"fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",285,Diabetes 
"I've had a high fever, vomiting, chills, and intense itching. I also have a headache and am sweating a lot. I'm feeling nauseous, and my muscle hurt a lot.",596,Malaria
"acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances",630,Migraine
"itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",193,Chicken Pox
"vomiting,sunken eyes,dehydration,diarrhoea",402,Gastroenteritis
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",502,Hyperthyroidism
"Post-polio syndrome only affect people who had polio. Common sign and symptom of post-polio syndrome include: Muscle and joint weakness and pain that get worse over time Feeling easily fatigued and exhausted Losing muscle tissue (atrophy) Breathing or swallowing problem Sleep-related breathing disorders, such a sleep apnea Decreased tolerance of cold temperature Post-polio syndrome progress slowly in most people. They may experience new sign and symptom followed by period of stability.",782,Post Polio Syndrome
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",297,Dimorphic Hemmorhoids(Piles)
"itching,skin rash,stomach pain,burning micturition,spotting  urination",308,Drug Reaction
"My neck is really stiff, and my muscle are weak. My joint are swollen, and it's hard for me to move without getting stiff. Walking is also unpleasant.",72,Arthritis
"An umbilical hernia creates a soft swelling or bulge near the navel. In baby who have an umbilical hernia, the bulge may be visible only when they cry, cough or strain. Umbilical hernia in child are usually painless. Umbilical hernia that appear during adulthood may cause abdominal discomfort.",1029,Umbilical Hernia
"burning micturition,bladder discomfort,continuous feel of urine",1035,Urinary Tract Infection
I have a lot of pain in my neck and back. I also feel weak and lightheaded. I've been coughing up mucus.,186,Cervical Spondylosis
"Most people with adult Still's disease have a combination of the following sign and symptoms: Fever. You might have a daily fever of at least 102 F (38.9 C) for a week or longer. The fever usually peak in the late afternoon or early evening. You might have two fever spike daily, with your temperature returning to normal in between. Rash. A salmon-pink rash might come and go with the fever. The rash usually appears on your trunk, arm or legs. Sore throat. This is one of the first symptom of adult Still's disease. The lymph node in your neck might be swollen and tender. Achy and swollen joints. Your joint — especially your knee and wrist — might be stiff, painful and inflamed. Ankles, elbows, hand and shoulder might also ache. The joint discomfort usually last at least two weeks. Muscle pain. Muscular pain usually ebb and flow with the fever, but the pain can be severe enough to disrupt your daily activities. The sign and symptom of this disorder can mimic those of other conditions, including lupus and a type of cancer called lymphoma.",24,Adult Stills Disease
"The most frequent sign of Gilbert syndrome is an occasional yellowish tinge of the skin and the white of the eye a a result of slightly higher level of bilirubin in the blood. In people with Gilbert syndrome, bilirubin level may increase due to: Illness, such a a cold or the flu Fasting or eating a very low-calorie diet Dehydration Menstruation Strenuous exercise Stress",416,Gilberts Syndrome
"fatigue,mood swings,weight loss,restlessness,sweating,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",502,Hyperthyroidism
"chest pain,dizziness,loss of balance,lack of concentration",501,Hypertension 
"I've been having trouble breathing, and I've been coughing a lot. I'm also really tired. I've been coughing up a lot of thick, mucusy stuff. It's been really hard to deal with all of this.",149,Bronchial Asthma
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",735,Peptic Ulcer Diseae
"I have red, irritated skin on my arms, face, and back. It's often itchy and uncomfortable. My nail are also inflamed and have small dent in them. I've never seen anything like this before.",822,Psoriasis
"I have itchy, swollen skin that sometimes flakes. My cheek and lip swell and it hurt a lot. I also get headache and watery eye from the puffing.",35,Allergy
"I have been having a lot of pain in my back, neck, and limbs. I also have been coughing a lot and I feel dizzy and off balance.",186,Cervical Spondylosis
"back pain,weakness in limbs,neck pain,dizziness,loss of balance",186,Cervical Spondylosis
"continuous sneezing,chill,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",234,Common Cold
"vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",1019,Tuberculosis
I have rash on my arm and neck that itch when I scratch them. I also have a fever. I don't know what is causing it. The itching is really bothering me.,193,Chicken Pox
"continuous sneezing,chill,watering from eyes",35,Allergy
"vomiting,breathlessness,sweating,chest pain",447,Heart Attack
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",465,Hepatitis B
"continuous sneezing,chill,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",234,Common Cold
"chill,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",766,Pneumonia
"I've been itching a lot recently, and my skin is covered in rashy patches. There are also some area where my skin doesn't look like it normal color, and I've had some painful lumps.",394,Fungal Infection
"vomiting,fatigue,anxiety,sweating,headache,nausea,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitation",504,Hypoglycemia
"chill,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",1019,Tuberculosis
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",465,Hepatitis B
I have a skin rash that is red and swollen. I also have a severe fever and body pain.,275,Dengue
"burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine",1035,Urinary Tract Infection
"chill,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",596,Malaria
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",412,Gerd
"joint pain,knee pain,hip joint pain,swelling joints,painful walking",700,Osteoarthristis
"vomiting,sunken eyes,dehydration,diarrhoea",402,Gastroenteritis
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",412,Gerd
"joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",822,Psoriasis
"chill,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",1019,Tuberculosis
"headache,chest pain,dizziness,loss of balance,lack of concentration",501,Hypertension 
"fatigue,cramp,bruising,obesity,swollen legs,swollen blood vessels",1047,Varicose Veins
"For some people, an allergic reaction to a particular food may be uncomfortable but not severe. For other people, an allergic food reaction can be frightening and even life-threatening. Food allergy symptom usually develop within a few minute to 2 hour after eating the offending food. Rarely, symptom may be delayed for several hours. The most common food allergy sign and symptom include: Tingling or itching in the mouth Hives, itching or eczema Swelling of the lips, face, tongue and throat or other part of the body Wheezing, nasal congestion or trouble breathing Abdominal pain, diarrhea, nausea or vomiting Dizziness, lightheadedness or fainting Anaphylaxis In some people, a food allergy can trigger a severe allergic reaction called anaphylaxis. This can cause life-threatening sign and symptoms, including: Constriction and tightening of the airway A swollen throat or the sensation of a lump in your throat that make it difficult to breathe Shock with a severe drop in blood pressure Rapid pulse Dizziness, lightheadedness or loss of consciousness Emergency treatment is critical for anaphylaxis. Untreated, anaphylaxis can cause a coma or even death.",385,Food Allergy
"joint pain,neck pain,knee pain,hip joint pain,swelling joints",700,Osteoarthristis
"itching,skin rash,dischromic  patches",394,Fungal Infection
"chill,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",596,Malaria
"stomach pain,acidity,vomiting,cough,chest pain",412,Gerd
I have a stuffy nose and nasal congestion. I sometimes have a stiff neck and chest discomfort at night. I can't taste or smell anything.,35,Allergy
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitation",504,Hypoglycemia
"stomach pain,acidity,vomiting,cough,chest pain",412,Gerd
I have varicose vein in my legs. They are swollen and the blood vessel are more visible than usual. The swelling seems to be getting worse over time.,1047,Varicose Veins
"vomiting,breathlessness,chest pain",447,Heart Attack
"itching,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",207,Chronic Cholestasis
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",297,Dimorphic Hemmorhoids(Piles)
"I have a fever, headache, and a rash on my arm and face. I'm also worried about the red sore around my nose and lips.",515,Impetigo
"Some people with atrial fibrillation (A-fib) don't notice any symptoms. Those who do have atrial fibrillation symptom may have sign and symptom such as: Sensations of a fast, fluttering or pounding heartbeat (palpitations) Chest pain Dizziness Fatigue Lightheadedness Reduced ability to exercise Shortness of breath Weakness Atrial fibrillation may be: Occasional (paroxysmal atrial fibrillation). A-fib symptom come and go, usually lasting for a few minute to hours. Sometimes symptom occur for a long a a week and episode can happen repeatedly. Symptoms might go away on their own. Some people with occasional A-fib need treatment. Persistent. With this type of atrial fibrillation, the heart rhythm doesn't go back to normal on it own. If a person ha A-fib symptoms, cardioversion or treatment with medication may be used to restore and maintain a normal heart rhythm. Long-standing persistent. This type of atrial fibrillation is continuous and last longer than 12 months. Permanent. In this type of atrial fibrillation, the irregular heart rhythm can't be restored. Medications are needed to control the heart rate and to prevent blood clots.",83,Atrial Fibrillation
"The sign and symptom of a bunion include: A bulging bump on the outside of the base of your big toe Swelling, redness or soreness around your big toe joint Corns or callus — these often develop where the first and second toe rub against each other Ongoing pain or pain that come and go Limited movement of your big toe",159,Bunions
"vomiting,breathlessness,sweating",447,Heart Attack
"vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness",0,(Vertigo) Paroymsal  Positional Vertigo
"Most small hiatal hernia cause no sign or symptoms. But larger hiatal hernia can cause: Heartburn Regurgitation of food or liquid into the mouth Backflow of stomach acid into the esophagus (acid reflux) Difficulty swallowing Chest or abdominal pain Feeling full soon after you eat Shortness of breath Vomiting of blood or passing of black stools, which may indicate gastrointestinal bleeding",472,Hiatal Hernia
"acidity,indigestion,headache,blurred and distorted vision,stiff neck,depression,irritability,visual disturbances",630,Migraine
"You might not have sign or symptom if your hypercalcemia is mild. More-severe case produce sign and symptom related to the part of your body affected by the high calcium level in your blood. Examples include: Kidneys. Excess calcium make your kidney work harder to filter it. This can cause excessive thirst and frequent urination. Digestive system. Hypercalcemia can cause stomach upset, nausea, vomiting and constipation. Bones and muscles. In most cases, the excess calcium in your blood wa leached from your bones, which weakens them. This can cause bone pain and muscle weakness. Brain. Hypercalcemia can interfere with how your brain works, resulting in confusion, lethargy and fatigue. It can also cause depression. Heart. Rarely, severe hypercalcemia can interfere with your heart function, causing palpitation and fainting, indication of cardiac arrhythmia, and other heart problems.",494,Hypercalcemia
"Body louse bite can cause intense itching, and you may notice small area of blood and crust on your skin at the site of the bite marks. See your doctor if improved hygiene doesn't remove the infestation, or if you develop a skin infection from scratching the bites.",121,Body Lice
"continuous sneezing,shivering,chill,watering from eyes",35,Allergy
"acidity,ulcers on tongue,vomiting,cough,chest pain",412,Gerd
"Some people with aortic valve disease may not notice symptom for many years. Signs and symptom of aortic valve disease may include: Whooshing or swishing heart sound (heart murmur) Chest pain or tightness Dizziness Fainting Fatigue after activity or having le ability to be active Irregular heartbeat Shortness of breath, particularly during vigorous activity or when lying down Not eating enough (mainly in child with aortic valve stenosis) Not gaining enough weight (mainly in child with aortic valve stenosis)",64,Aortic Valve Disease
"muscle weakness,stiff neck,swelling joints,movement stiffness",72,Arthritis
"I've been feeling really tired and weak. I can barely get out of bed in the morning, and I'm having trouble staying awake during the day.",193,Chicken Pox
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",467,Hepatitis D
